Height	Angle1	Angle2	Angle3	Angle4	Angle5	Angle6	label
1345.55	84.2479	94.8395	180	180	157.571	165.566	2
1336.76	77.25	83.7827	180	180	164.81	171.334	2
1327.39	83.2382	86.9638	180	180	172.014	167.023	2
1277.98	86.7106	100.315	180	180	158.885	140.201	2
1223.71	99.9092	126.107	179.972	179.972	152.968	139.851	2
1213.62	93.7094	124.691	179.972	179.972	156.118	145.896	2
1207.41	99.3875	121.778	180	180	157.276	147.524	2
1201.56	94.6114	118.196	179.966	180	156.754	144.132	2
1268.9	84.0813	110.348	179.972	179.972	160.677	146.653	2
1349.21	94.5233	115.236	180	180	169.966	159.315	2
1316.05	69.2467	86.0179	179.972	180	169.833	163.032	2
1343.57	105.032	107.087	179.972	180	166.516	152.839	2
1315.96	98.8087	97.747	179.972	179.972	164.331	148.11	2
1339.34	102.818	132.923	180	180	159.688	148.631	2
1335.35	98.6475	143.034	179.972	180	159.854	150.596	2
1262.31	103.749	84.0339	180	180	161.807	155.526	2
1346.39	102.439	120.342	179.972	179.972	169.375	155.955	2
1370.25	100.117	125.16	180	179.972	171.866	165.831	2
1373.04	86.4186	133.327	179.972	179.972	170.986	163.695	2
1333.83	87.9569	103.378	180	180	168.965	157.353	2
1347.81	84.1234	106.603	180	180	173.775	168.031	2
1304.62	74.5376	89.3693	179.96	180	174.183	170.364	2
1341.72	72.8863	121.711	179.972	180	170.617	162.109	2
1362.48	92.1007	151.382	180	179.972	169.418	159.928	2
1374.94	100.683	133.037	180	180	167.964	155.495	2
1328.64	104.609	94.349	180	180	168.193	166.518	2
1317.48	97.2259	92.4587	180	179.972	168.88	165.595	2
1370.16	107.163	137.375	179.972	180	169.65	159.701	2
1368.21	98.7543	137.948	180	180	170.198	159.582	2
1363.56	100.343	135.055	179.972	180	170.788	160.594	2
1361.55	107.104	134.572	180	180	171.002	162.005	2
1356.86	79.4524	131.649	179.972	179.972	170.925	158.47	2
1333.82	93.1008	105.346	180	180	170.738	157.001	2
1319.21	99.3166	87.2671	180	180	170.3	154.593	2
1315.66	99.1692	87.3615	179.972	180	170.288	154.529	2
1290.73	78.0901	86.3706	179.972	179.972	170.027	150.57	2
1354.27	108.449	133.268	180	180	170.014	160.751	2
1361.72	102.779	134.879	180	179.972	169.574	158.843	2
1338.34	80.8501	112.977	180	180	169.203	153.901	2
1334.45	119.26	108.2	179.972	179.96	172.029	161.185	2
1251.31	89.9976	96.0623	180	180	172.054	167.539	2
1296.22	112.591	120.68	180	179.972	171.805	162.415	2
1319.05	135.606	123.324	180	179.972	171.314	164.673	2
1313.34	116.674	119.958	180	180	168.533	160.231	2
1338.64	109.121	124.847	180	180	163.07	150.757	2
1347.33	104	124.368	179.972	180	160.892	145.282	2
1372.74	102.846	129.509	180	180	160.918	145.936	2
1382.27	103.59	128.729	180	180	161.094	146.085	2
1385.34	103.829	124.446	180	180	161.419	145.529	2
1318.24	102.306	135.504	179.972	180	159.511	146.948	2
1314.53	101.469	123.451	180	180	173.547	159.388	2
1345.38	141.702	148.331	180	180	176.937	175.208	2
1380.68	127.298	152.246	179.972	179.972	171.259	166.033	2
1382.29	118.964	141.172	180	180	169.075	161.56	2
1408.09	145.957	121.178	179.972	179.972	171.292	165.187	2
1406.75	87.4304	130.074	179.966	179.972	173.053	166.531	2
1365.19	87.0345	104.402	180	180	172.791	175.409	2
1321.14	88.0647	80.652	180	179.966	171.399	169.931	2
1354.3	71.6552	96.5345	180	180	172.495	168.95	2
1378.43	102.387	90.0332	180	180	168.421	166.452	2
1409.36	121.536	122.099	180	179.972	170.388	168.438	2
1400.73	113.772	114.365	180	180	171.734	168.565	2
1405.84	115.396	116.655	179.972	180	173.087	169.2	2
1391.56	100.863	106.971	180	179.972	173.557	167.543	2
1407.09	115.719	119.846	180	180	174.201	172.068	2
1414.75	91.0826	121.689	180	180	175.24	165.228	2
1408.82	86.2329	113.087	180	180	175.138	164.51	2
1352.67	85.5673	76.4447	180	180	174.092	158.226	2
1351.79	81.4262	80.2704	180	180	172.901	156.598	2
1421.71	68.0979	97.023	180	180	170.922	154.625	2
1595.02	81.0843	110.978	179.98	179.98	162.406	151.752	2
1509.76	88.4584	110	179.98	180	160.774	154.33	2
1598.73	97.3936	119.149	179.98	179.98	158.992	154.146	2
1627.97	123.773	150.281	180	180	158.979	153.726	2
1571.77	126.444	94.2534	180	180	159.548	149.805	2
1542.52	82.7962	85.1057	180	180	159.805	146.897	2
381.818	67.0587	67.0587	180	180	168.488	81.7937	2
990.694	144.476	130.83	180	180	170.791	165.912	2
1061.11	155.267	162.882	180	180	168.985	163.856	2
1015.16	119.024	138.77	179.972	180	172.046	163.421	2
1010.31	114.184	131.125	180	180	172.306	161.572	2
1012.81	113.528	129.551	180	180	171.61	160.433	2
1005.3	116.635	131.569	180	180	169.408	159.085	2
998.515	129.217	160.281	179.972	180	165.222	158.223	2
997.509	138.466	175.745	180	180	151.982	147.294	2
1011.29	136.345	171.069	180	179.972	151.763	146.656	2
989.285	135.649	168.059	180	180	152.628	147.169	2
981.627	129.791	162.485	180	180	153.999	147.679	2
979.79	122.192	153.692	179.972	179.972	156.486	148.85	2
987.695	120.686	155.117	180	180	157.072	149.465	2
990.363	120.514	156.551	179.972	179.972	156.846	149.456	2
989.58	120.643	154.768	179.972	180	156.613	148.985	2
984.953	118.343	152.969	180	180	155.921	148.067	2
980.244	116.593	150.725	180	180	155.409	147.327	2
979.481	117.648	150.986	179.972	179.972	154.817	146.873	2
992.468	123.301	165.898	180	180	154.83	148.8	2
994.533	123.571	168.197	180	180	155.313	149.627	2
993.673	122.735	165.002	180	180	155.832	150.001	2
1004.04	122.703	168.308	179.972	179.972	156.885	151.955	2
1004.57	117.735	155.493	180	180	156.998	151.147	2
1016.81	115.337	141.026	179.972	180	156.27	148.734	2
1027.83	120.178	139.652	180	179.972	159.677	153.796	2
1034.81	120.213	135.465	179.972	179.972	161.907	157.204	2
1045.47	118.812	148.396	179.972	180	162.767	157.7	2
1050.79	100.74	103.317	180	180	163.191	155.138	2
1048.09	96.8161	100.727	179.98	180	162.993	156.045	2
1068.31	131.115	129.748	180	180	158.514	155.811	2
1063.46	124.87	125.107	179.98	180	157.328	154.327	2
1078.06	132.693	133.24	179.966	180	158.24	155.094	2
1085.17	130.941	131.135	179.98	179.98	159.425	155.547	2
1095.85	139.255	129.936	180	180	154.478	150.527	2
1100.53	145.061	132.098	180	180	151.118	148.587	2
1106.24	150.555	139.954	180	180	148.284	146.687	2
1118.69	154.653	152.403	179.98	179.98	146.18	145.072	2
1101.15	144.448	127.53	179.98	179.98	149.121	146.669	2
1106.57	138.264	123.829	180	179.96	153.325	150.007	2
1128.29	151.588	142.65	180	180	152.587	150.308	2
1118.99	146.126	137.865	180	180	151.86	149.615	2
1134.22	141.097	169.817	179.98	180	149.707	147.401	2
1093.69	142.225	132.752	180	180	158.022	155.034	2
1111.77	150.665	116.155	179.966	179.98	154.794	151.902	2
1124.88	155.247	134.114	180	179.98	151.435	148.989	2
1140.28	159.884	148.591	180	180	149.251	148.482	2
1151.11	162.744	152.263	180	179.966	148.499	148.567	2
1163.74	169.847	149.824	180	180	147.666	148.289	2
